PLAN 1, FREQ 1 sec, 500kb file

Twin Patch received
     {'$version': 5, 'Active': True, 'FileName': 'p001.mp3', 'IntervalSec': 1, 'UploadTarget': 10}
Total calls confirmed: 4
COMPRESSION END: 2023-07-18 20:20:26.054541
UPLOAD START: 2023-07-18 20:20:26.773661
UPLOAD COMPLETED: 2023-07-18 20:20:43.404386
COMPRESSION START: 2023-07-18 20:20:43.404493
COMPRESSION END: 2023-07-18 20:20:50.424828
UPLOAD START: 2023-07-18 20:20:50.773273
UPLOAD COMPLETED: 2023-07-18 20:21:42.778305
COMPRESSION START: 2023-07-18 20:21:42.778438
COMPRESSION END: 2023-07-18 20:21:49.736382
UPLOAD START: 2023-07-18 20:21:49.772977
UPLOAD COMPLETED: 2023-07-18 20:21:56.149746
COMPRESSION START: 2023-07-18 20:21:56.149901
COMPRESSION END: 2023-07-18 20:22:03.137056
UPLOAD START: 2023-07-18 20:22:03.773567
UPLOAD COMPLETED: 2023-07-18 20:22:09.993122
COMPRESSION START: 2023-07-18 20:22:09.993278
COMPRESSION END: 2023-07-18 20:22:16.976633
UPLOAD START: 2023-07-18 20:22:17.773732
UPLOAD COMPLETED: 2023-07-18 20:22:24.667374
COMPRESSION START: 2023-07-18 20:22:24.667541
COMPRESSION END: 2023-07-18 20:22:31.632873
UPLOAD START: 2023-07-18 20:22:31.773081
UPLOAD COMPLETED: 2023-07-18 20:22:41.640977
COMPRESSION START: 2023-07-18 20:22:41.641134
COMPRESSION END: 2023-07-18 20:22:48.624361
UPLOAD START: 2023-07-18 20:22:48.773098
UPLOAD COMPLETED: 2023-07-18 20:22:56.257978
COMPRESSION START: 2023-07-18 20:22:56.258173
COMPRESSION END: 2023-07-18 20:23:03.215666
UPLOAD START: 2023-07-18 20:23:03.773505
UPLOAD COMPLETED: 2023-07-18 20:23:09.205458
COMPRESSION START: 2023-07-18 20:23:09.205612
COMPRESSION END: 2023-07-18 20:23:16.217780
UPLOAD START: 2023-07-18 20:23:16.773486
UPLOAD COMPLETED: 2023-07-18 20:23:23.155820
COMPRESSION START: 2023-07-18 20:23:23.155975
COMPRESSION END: 2023-07-18 20:23:30.137362
UPLOAD START: 2023-07-18 20:23:30.773570
UPLOAD COMPLETED: 2023-07-18 20:23:36.871605


PLAN 1, FREQ 3 sec, 50mb file

